Date,ppt (inches),tmean (degrees F),Average
11/26/2016,0.41,48.8,0.441915888
11/27/2016,0.84,47.8,0.441915888
11/28/2016,0.47,45.3,0.441915888
11/29/2016,0.28,46.2,0.441915888
11/30/2016,0.38,46.4,0.441915888
12/1/2016,0.29,44.5,0.441915888
12/2/2016,0.11,43.4,0.441915888
12/3/2016,0.18,43.4,0.441915888
12/4/2016,1.05,47.3,0.441915888
12/5/2016,0.5,42.2,0.441915888
12/6/2016,0.53,39,0.441915888
12/7/2016,0.02,36.6,0.441915888
12/8/2016,0.25,33.3,0.441915888
12/9/2016,0.65,42.6,0.441915888
12/10/2016,0.65,47.2,0.441915888
12/11/2016,0.45,45,0.441915888
12/12/2016,0.27,44.6,0.441915888
12/13/2016,0.01,41.4,0.441915888
12/14/2016,0.19,37,0.441915888
12/15/2016,0.66,36.3,0.441915888
12/16/2016,0.04,36.3,0.441915888
12/17/2016,0,34.3,0.441915888
12/18/2016,0,34.2,0.441915888
12/19/2016,0.19,36.2,0.441915888
12/20/2016,1.07,42.7,0.441915888
12/21/2016,0.02,43,0.441915888
12/22/2016,0.06,40,0.441915888
12/23/2016,0.42,42.2,0.441915888
12/24/2016,0.41,40.5,0.441915888
12/25/2016,0.04,38.3,0.441915888
12/26/2016,0.07,37.1,0.441915888
12/27/2016,0.74,38.3,0.441915888
12/28/2016,0.04,44.7,0.441915888
12/29/2016,0.01,41.3,0.441915888
12/30/2016,0.06,42.2,0.441915888
12/31/2016,0.05,38.7,0.441915888
1/1/2017,0.21,37.8,0.441915888
1/2/2017,0.23,38.3,0.441915888
1/3/2017,0.01,36.1,0.441915888
1/4/2017,0.12,34.7,0.441915888
1/5/2017,0.01,33.2,0.441915888
1/6/2017,0,33.8,0.441915888
1/7/2017,0.21,33.8,0.441915888
1/8/2017,0.78,38.7,0.441915888
1/9/2017,1.29,43.4,0.441915888
1/10/2017,0.99,42.1,0.441915888
1/11/2017,1.05,43.5,0.441915888
1/12/2017,0.06,38.5,0.441915888
1/13/2017,0,36.1,0.441915888
1/14/2017,0,36.1,0.441915888
1/15/2017,0,38.4,0.441915888
1/16/2017,0,39.1,0.441915888
1/17/2017,0.34,43.4,0.441915888
1/18/2017,1.8,46.1,0.441915888
1/19/2017,1,51,0.441915888
1/20/2017,0.26,47.6,0.441915888
1/21/2017,0.4,46,0.441915888
1/22/2017,0.55,46.1,0.441915888
1/23/2017,0.26,42.7,0.441915888
1/24/2017,0,42.3,0.441915888
1/25/2017,0.01,40.8,0.441915888
1/26/2017,0.04,41.9,0.441915888
1/27/2017,0,46.6,0.441915888
1/28/2017,0,46.5,0.441915888
1/29/2017,0,43.7,0.441915888
1/30/2017,0,42.8,0.441915888
1/31/2017,0.02,47.1,0.441915888
2/1/2017,0.01,45.8,0.441915888
2/2/2017,0.04,43.5,0.441915888
2/3/2017,0.59,45.1,0.441915888
2/4/2017,1.54,45.8,0.441915888
2/5/2017,2.25,49.3,0.441915888
2/6/2017,1.18,48.5,0.441915888
2/7/2017,0.34,42.1,0.441915888
2/8/2017,0.73,46.3,0.441915888
2/9/2017,1.89,53.9,0.441915888
2/10/2017,0.44,52.3,0.441915888
2/11/2017,0.08,45.1,0.441915888
2/12/2017,0,44.2,0.441915888
2/13/2017,0,45.1,0.441915888
2/14/2017,0.02,47.8,0.441915888
2/15/2017,0.63,50,0.441915888
2/16/2017,2.54,54.5,0.441915888
2/17/2017,0.57,49.8,0.441915888
2/18/2017,0.19,47.9,0.441915888
2/19/2017,0.51,46.9,0.441915888
2/20/2017,1.59,48.1,0.441915888
2/21/2017,1.35,48.1,0.441915888
2/22/2017,0.6,43.4,0.441915888
2/23/2017,0.06,40.5,0.441915888
2/24/2017,0.59,39.8,0.441915888
2/25/2017,0.6,38,0.441915888
2/26/2017,0.37,42.9,0.441915888
2/27/2017,0.46,40.6,0.441915888
2/28/2017,0.37,40.5,0.441915888
3/1/2017,0.19,43.9,0.441915888
3/2/2017,0.01,44.6,0.441915888
3/3/2017,0.1,44.4,0.441915888
3/4/2017,0.59,45.4,0.441915888
3/5/2017,0.54,41,0.441915888
3/6/2017,0.5,38.9,0.441915888
3/7/2017,0.85,41.5,0.441915888
3/8/2017,1.46,46.6,0.441915888
3/9/2017,1.2,50.4,0.441915888
3/10/2017,0.57,52.8,0.441915888
3/11/2017,0.16,50.6,0.441915888
3/12/2017,0.15,50,0.441915888
3/13/2017,0.27,54.5,0.441915888
3/14/2017,0.92,54.7,0.441915888
3/15/2017,1.74,55.3,0.441915888
3/16/2017,0.68,49,0.441915888
3/17/2017,0.08,45.5,0.441915888
3/18/2017,0.63,49.8,0.441915888
3/19/2017,0.31,45.3,0.441915888
3/20/2017,0.2,46.4,0.441915888
3/21/2017,0.35,50.5,0.441915888
3/22/2017,0.58,54.2,0.441915888
3/23/2017,0.13,46.6,0.441915888
3/24/2017,1.52,46.4,0.441915888
3/25/2017,0.45,49,0.441915888
3/26/2017,0.36,47.5,0.441915888
3/27/2017,0.36,47.6,0.441915888
3/28/2017,0.08,48.9,0.441915888
3/29/2017,0.42,52.5,0.441915888
3/30/2017,0.54,49.3,0.441915888
3/31/2017,0.06,47.8,0.441915888
4/1/2017,0,47.8,0.441915888
4/2/2017,0,50.4,0.441915888
4/3/2017,0,46.1,0.441915888
4/4/2017,0,46.5,0.441915888
4/5/2017,0,52.1,0.441915888
4/6/2017,0.36,52.7,0.441915888
4/7/2017,0.87,53.3,0.441915888
4/8/2017,0.42,45.8,0.441915888
4/9/2017,0.17,45.1,0.441915888
4/10/2017,0.46,46.6,0.441915888
4/11/2017,0.12,47,0.441915888
4/12/2017,0.77,47.9,0.441915888
4/13/2017,0.57,48.1,0.441915888
4/14/2017,0.33,46.4,0.441915888
4/15/2017,0.19,45.9,0.441915888
4/16/2017,0.01,47.9,0.441915888
4/17/2017,0.37,50.5,0.441915888
4/18/2017,0.32,52.8,0.441915888
4/19/2017,0.12,54.5,0.441915888
4/20/2017,0.69,50.3,0.441915888
4/21/2017,0.06,51.8,0.441915888
4/22/2017,0.03,56.1,0.441915888
4/23/2017,0.24,52.7,0.441915888
4/24/2017,0.94,50.3,0.441915888
4/25/2017,0.2,49.5,0.441915888
4/26/2017,0.84,50.7,0.441915888
4/27/2017,0.19,49.7,0.441915888
4/28/2017,0.11,48.1,0.441915888
4/29/2017,0,48.1,0.441915888
4/30/2017,0.38,52,0.441915888
5/1/2017,0.04,50.3,0.441915888
